# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1743625375947602 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 839 760 680 0 0 0 56031946 7804364 0 6751293 219578 159693 98708074 10646807 3342714944 3324008026 0 15760211342 73314477 236.542916 24 25 199837 1248980 1626 1478 0.498886 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625381451163 40 0 0 40 40 40 0 0 0 0 0 0 78 80 80 1 843 765 685 0 0 0 56329183 8019162 0 6961649 345670 160245 103444447 10775190 3496933646 3477118413 0 15760212914 75821550 234.697867 25 27 208164 1301021 165 1172 0.501996 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625386586239 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 857 778 698 0 0 0 56971085 8256288 0 7184484 941518 198428 106671833 11169649 3894711682 3859311362 0 15760216999 82289024 231.629612 31 33 258123 1613266 85 537 0.504322 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625391848891 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 875 796 716 0 0 0 57945996 8737963 0 7590658 947960 200696 109968117 11670590 4488993728 4458783851 0 15760222658 91235649 226.698128 97 101 807674 5047960 2712 1679 0.505050 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625397759849 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 896 817 737 0 0 0 58968394 9001524 0 7836182 956258 202707 114009201 12244159 5071732247 5051813362 0 15760229266 101682713 222.555779 243 243 1944000 12150000 1413 1642 0.502679 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625402890045 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 916 837 757 0 0 0 59830249 9446768 0 8265188 1004597 204616 117236375 12789862 5637442106 5607854450 0 15760235557 111587173 218.493093 221 221 1768000 11050000 3159 1751 0.494532 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625408388927 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 929 850 770 0 0 0 60523293 9576320 0 8384282 1008640 205899 121567440 13129592 6026682459 5956875978 0 15760239646 117634703 216.011477 215 215 1720000 10750000 1210 1575 0.504805 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625413461997 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 938 859 779 0 0 0 60992221 9712080 0 8511961 1011638 207007 125754619 13406877 6286412408 6259574892 0 15760242479 122120561 214.224616 148 148 1184000 7400000 530 1805 0.504513 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625418622776 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 961 882 802 0 0 0 62170885 10002970 0 8784342 1017886 209299 128763448 14080693 6898360630 6876572965 0 15760249720 133514171 210.013369 166 166 1328000 8300000 2718 1917 0.504476 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625423830066 40 0 0 40 40 40 0 0 0 0 0 0 79 80 80 1 979 900 820 0 0 0 62931381 10316831 0 9083131 1022894 210988 132374574 14595767 7360161638 7338151201 0 15760255386 142495902 207.050043 167 167 1336000 8350000 2758 1532 0.502276 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
1743625429193727 40 0 0 40 40 40 0 0 0 0 0 0 78 80 80 1 990 912 832 0 0 0 63502479 11049204 0 9793565 1310013 212162 135805891 14936319 7659711241 7631695099 0 15760259164 148451161 203.506183 213 213 1704000 10650000 588 1522 0.501557 80 640000 4000000 80 640000 4000000 2 16000 100000 0 0 0
